location_id,location_name,latitude,longitude,parameter,value,timestamp_utc
8118,New Delhi,28.63576,77.22445,pm25,234.0,2023-10-31T23:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,206.0,2023-11-01T00:00:00Z
8118,New Delhi,28.63576,77.22445,pm25,237.0,2023-11-01T00:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,216.0,2023-11-01T01:00:00Z
8118,New Delhi,28.63576,77.22445,pm25,219.0,2023-11-01T01:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,213.0,2023-11-01T02:00:00Z
8118,New Delhi,28.63576,77.22445,pm25,287.0,2023-11-01T02:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,214.0,2023-11-01T03:00:00Z
8118,New Delhi,28.63576,77.22445,pm25,260.0,2023-11-01T03:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,224.0,2023-11-01T04:00:00Z
8118,New Delhi,28.63576,77.22445,pm25,164.0,2023-11-01T04:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,226.0,2023-11-01T05:00:00Z
8118,New Delhi,28.63576,77.22445,pm25,234.0,2023-11-01T06:00:00Z
8118,New Delhi,28.63576,77.22445,pm25,129.0,2023-11-01T06:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,237.0,2023-11-01T07:00:00Z
8118,New Delhi,28.63576,77.22445,pm25,156.0,2023-11-01T07:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,219.0,2023-11-01T08:00:00Z
8118,New Delhi,28.63576,77.22445,pm25,131.0,2023-11-01T08:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,287.0,2023-11-01T09:00:00Z
8118,New Delhi,28.63576,77.22445,pm25,106.0,2023-11-01T09:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,260.0,2023-11-01T10:00:00Z
8118,New Delhi,28.63576,77.22445,pm25,94.0,2023-11-01T10:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,164.0,2023-11-01T11:00:00Z
8118,New Delhi,28.63576,77.22445,pm25,106.0,2023-11-01T11:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,139.0,2023-11-01T12:00:00Z
8118,New Delhi,28.63576,77.22445,pm25,102.0,2023-11-01T12:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,129.0,2023-11-01T13:00:00Z
8118,New Delhi,28.63576,77.22445,pm25,104.0,2023-11-01T13:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,156.0,2023-11-01T14:00:00Z
8118,New Delhi,28.63576,77.22445,pm25,119.0,2023-11-01T14:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,131.0,2023-11-01T15:00:00Z
8118,New Delhi,28.63576,77.22445,pm25,154.0,2023-11-01T15:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,106.0,2023-11-01T16:00:00Z
8118,New Delhi,28.63576,77.22445,pm25,182.0,2023-11-01T16:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,94.0,2023-11-01T17:00:00Z
8118,New Delhi,28.63576,77.22445,pm25,198.0,2023-11-01T17:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,106.0,2023-11-01T18:00:00Z
8118,New Delhi,28.63576,77.22445,pm25,211.0,2023-11-01T18:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,102.0,2023-11-01T19:00:00Z
8118,New Delhi,28.63576,77.22445,pm25,202.0,2023-11-01T19:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,104.0,2023-11-01T20:00:00Z
8118,New Delhi,28.63576,77.22445,pm25,215.0,2023-11-01T20:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,119.0,2023-11-01T21:00:00Z
8118,New Delhi,28.63576,77.22445,pm25,238.0,2023-11-01T21:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,154.0,2023-11-01T22:00:00Z
8118,New Delhi,28.63576,77.22445,pm25,240.0,2023-11-01T22:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,182.0,2023-11-01T23:00:00Z
8118,New Delhi,28.63576,77.22445,pm25,237.0,2023-11-01T23:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,198.0,2023-11-02T00:00:00Z
8118,New Delhi,28.63576,77.22445,pm25,246.0,2023-11-02T00:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,211.0,2023-11-02T01:00:00Z
8118,New Delhi,28.63576,77.22445,pm25,247.0,2023-11-02T01:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,202.0,2023-11-02T02:00:00Z
8118,New Delhi,28.63576,77.22445,pm25,279.0,2023-11-02T02:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,215.0,2023-11-02T03:00:00Z
8118,New Delhi,28.63576,77.22445,pm25,316.0,2023-11-02T03:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,238.0,2023-11-02T04:00:00Z
8118,New Delhi,28.63576,77.22445,pm25,343.0,2023-11-02T04:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,240.0,2023-11-02T05:00:00Z
8118,New Delhi,28.63576,77.22445,pm25,237.0,2023-11-02T06:00:00Z
8118,New Delhi,28.63576,77.22445,pm25,405.0,2023-11-02T06:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,246.0,2023-11-02T07:00:00Z
8118,New Delhi,28.63576,77.22445,pm25,413.0,2023-11-02T07:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,247.0,2023-11-02T08:00:00Z
8118,New Delhi,28.63576,77.22445,pm25,447.0,2023-11-02T08:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,279.0,2023-11-02T09:00:00Z
8118,New Delhi,28.63576,77.22445,pm25,453.0,2023-11-02T09:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,,2023-11-02T10:00:00Z
8118,New Delhi,28.63576,77.22445,pm25,419.0,2023-11-02T10:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,343.0,2023-11-02T11:00:00Z
8118,New Delhi,28.63576,77.22445,pm25,396.0,2023-11-02T11:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,,2023-11-02T12:00:00Z
8118,New Delhi,28.63576,77.22445,pm25,389.0,2023-11-02T12:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,405.0,2023-11-02T13:00:00Z
8118,New Delhi,28.63576,77.22445,pm25,392.0,2023-11-02T13:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,413.0,2023-11-02T14:00:00Z
8118,New Delhi,28.63576,77.22445,pm25,403.0,2023-11-02T14:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,447.0,2023-11-02T15:00:00Z
8118,New Delhi,28.63576,77.22445,pm25,374.0,2023-11-02T15:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,453.0,2023-11-02T16:00:00Z
8118,New Delhi,28.63576,77.22445,pm25,362.0,2023-11-02T16:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,419.0,2023-11-02T17:00:00Z
8118,New Delhi,28.63576,77.22445,pm25,347.0,2023-11-02T17:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,396.0,2023-11-02T18:00:00Z
8118,New Delhi,28.63576,77.22445,pm25,341.0,2023-11-02T18:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,389.0,2023-11-02T19:00:00Z
8118,New Delhi,28.63576,77.22445,pm25,360.0,2023-11-02T19:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,392.0,2023-11-02T20:00:00Z
8118,New Delhi,28.63576,77.22445,pm25,381.0,2023-11-02T20:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,418.0,2023-11-02T21:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,467.0,2023-11-02T22:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,511.0,2023-11-02T23:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,500.0,2023-11-03T00:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,496.0,2023-11-03T01:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,519.0,2023-11-03T02:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,514.0,2023-11-03T03:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,496.0,2023-11-03T04:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,381.0,2023-11-03T06:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,262.0,2023-11-03T07:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,190.0,2023-11-03T08:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,118.0,2023-11-03T09:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,124.0,2023-11-03T10:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,124.0,2023-11-03T11:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,139.0,2023-11-03T12:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,144.0,2023-11-03T13:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,157.0,2023-11-03T14:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,176.0,2023-11-03T15:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,191.0,2023-11-03T16:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,202.0,2023-11-03T17:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,222.0,2023-11-03T18:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,237.0,2023-11-03T19:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,265.0,2023-11-03T20:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,277.0,2023-11-03T21:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,295.0,2023-11-03T22:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,307.0,2023-11-03T23:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,324.0,2023-11-04T00:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,340.0,2023-11-04T01:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,379.0,2023-11-04T02:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,406.0,2023-11-04T03:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,467.0,2023-11-04T04:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,590.0,2023-11-04T06:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,583.0,2023-11-04T07:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,424.0,2023-11-04T08:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,400.0,2023-11-04T09:30:00Z
