latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
29.67819,75.63274,335.27,0.45,0.39,2023-11-01,750,N,VIIRS,n,2,302.59,7.25,D,0
29.68172,75.63192,331.38,0.45,0.39,2023-11-01,750,N,VIIRS,n,2,299.7,6.67,D,0
29.68253,75.63651,333.5,0.45,0.39,2023-11-01,750,N,VIIRS,n,2,300.09,6.64,D,0
29.68572,76.48709,344.55,0.42,0.38,2023-11-01,750,N,VIIRS,n,2,301.67,8.79,D,0
29.70459,75.31791,331.09,0.46,0.39,2023-11-01,750,N,VIIRS,n,2,301.79,7.91,D,0
29.70544,75.32263,334.48,0.46,0.39,2023-11-01,750,N,VIIRS,n,2,304.23,13.12,D,0
29.70635,75.20374,333.43,0.47,0.39,2023-11-01,750,N,VIIRS,n,2,300.19,2.68,D,0
29.70858,75.86687,338.84,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,303.54,5.96,D,0
29.71056,75.35088,332.71,0.46,0.39,2023-11-01,750,N,VIIRS,n,2,301.67,3.95,D,0
29.71629,75.72382,337.67,0.44,0.39,2023-11-01,750,N,VIIRS,n,2,301.09,4.7,D,0
29.73827,75.95329,331.22,0.44,0.38,2023-11-01,750,N,VIIRS,l,2,301.85,3.02,D,0
29.7402,75.94355,342.8,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,302.67,6.13,D,0
29.74098,75.94801,333.21,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,301.94,6.13,D,0
29.7411,76.39413,330.91,0.42,0.38,2023-11-01,750,N,VIIRS,n,2,300.05,2.09,D,0
29.7412,75.31419,346.92,0.46,0.39,2023-11-01,750,N,VIIRS,n,2,300.85,6.46,D,0
29.74906,75.89024,337.79,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,300.95,4.54,D,0
29.74985,75.89474,330.14,0.44,0.38,2023-11-01,750,N,VIIRS,l,2,303.01,2.81,D,0
29.75034,75.7362,338.15,0.44,0.39,2023-11-01,750,N,VIIRS,n,2,301.32,4.86,D,0
29.75908,75.30997,331.71,0.46,0.39,2023-11-01,750,N,VIIRS,n,2,301.21,6.47,D,0
29.75992,75.31469,333.59,0.46,0.39,2023-11-01,750,N,VIIRS,n,2,302.38,6.47,D,0
29.76036,75.97605,338.7,0.43,0.38,2023-11-01,750,N,VIIRS,n,2,301.06,5.35,D,0
29.763,76.09535,341.76,0.43,0.38,2023-11-01,750,N,VIIRS,n,2,299.91,4.09,D,0
29.76423,75.9566,333.09,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,301.05,2.84,D,0
29.76494,75.69492,331.5,0.44,0.39,2023-11-01,750,N,VIIRS,n,2,299.94,6.22,D,0
29.76518,75.32328,339.76,0.46,0.39,2023-11-01,750,N,VIIRS,n,2,302.46,5.74,D,0
29.76576,75.69948,332.19,0.44,0.39,2023-11-01,750,N,VIIRS,n,2,298.69,6.22,D,0
29.76707,75.313,337.97,0.46,0.39,2023-11-01,750,N,VIIRS,n,2,301.5,3.44,D,0
29.76733,75.97445,332.56,0.43,0.38,2023-11-01,750,N,VIIRS,n,2,301.14,4.48,D,0
29.7681,75.9789,333.91,0.43,0.38,2023-11-01,750,N,VIIRS,n,2,300.39,4.48,D,0
29.76811,75.93713,346.17,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,300.5,5.8,D,0
