lead,persistence,diurnal_persistence,climatology,cams_raw,cams_bias,cams_bias_hourly,blend_persist_diurnal,blend_diurnal_cams
+1-6h,65.48235384200251,68.14356542297315,82.45120156799626,86.6081065397358,84.41042654614584,85.23597231460452,65.48235384200251,63.25873562082777
+7-24h,79.28876331510968,66.7077009277904,81.19879515535423,85.32352949351413,83.09780025080929,83.91341628493495,66.7077009277904,61.46638319361917
+25-48h,85.01639139636312,67.1515336970238,82.37212332886958,85.94382881353899,83.79361306660012,84.65978170820371,67.1515336970238,62.81389178444193
+49-72h,86.7758741847395,67.24618964269636,81.39570321366872,85.2358409896855,82.99244079986514,83.84738782097084,67.24618964269636,61.95139203419772
