method,n,rmse,mae,bias
blend_diurnal_cams,3891185,62.23032858902546,37.30251250998466,3.388645071523549
blend_persist_diurnal,3919773,66.91691344641467,33.195208474773544,0.11332489409323063
diurnal_persistence,3891185,67.1548697858382,33.84461610731062,0.3300720723874611
climatology,4151827,81.76370711616656,51.355191139764585,-9.19078615336954
persistence,4151827,82.65363086591987,41.19741879344845,-1.841977074006459
cams_bias,4151827,83.41008047679512,55.18557123130274,6.9860209959610176
cams_bias_hourly,4151827,84.2562290981887,55.34831557254173,7.22861720293166
cams_raw,4151827,85.61389591957514,57.15915966282799,13.357643856554075
